,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45,MEANSHR,MEANGAM,TOTBSQ,TOTFZ,EPSZ,FLARE_CLASS
9086,527.13,7.226474e+22,9781516000000.0,17.683,1876771000000.0,9.816345e+21,228.439484,3745.741,3.828,16.046,28.305,35.177,9237400000,-2315.3,-0.4754,C
9087,649.439,9.574302e+22,13679430000000.0,49.322,1440149000000.0,1.38697e+22,348.491302,3366.011,3.419,14.6,29.022,34.443,15795000000,-3390.6,-0.4072,No Flares
9088,317.306,3.556443e+22,5763791000000.0,13.055,1502428000000.0,6.806201e+21,104.20945,2474.775,3.333,6.256,22.501,28.895,7347500000,-1901.2,-0.4908,No Flares
9089,161.38,1.604475e+22,2994902000000.0,22.71,1063323000000.0,2.01393e+21,126.099854,4252.547,0.0,10.56,28.542,41.469,2294900000,-328.76,-0.2717,No Flares
9090,318.606,1.745192e+22,6439264000000.0,92.887,5115976000000.0,8.34862e+21,100.713417,1027.127,2.85,0.961,16.228,22.492,19113000000,-4961.6,-0.4924,No Flares
9091,145.22,9.520416e+21,3256932000000.0,6.62,1005519000000.0,2.860808e+21,99.234016,1614.946,0.0,1.78,21.774,24.754,3573600000,-514.79,-0.2733,No Flares
9092,385.77,6.185198e+22,6955568000000.0,8.892,1218749000000.0,9.980261e+21,166.798737,3038.076,3.344,11.168,24.574,33.689,8884100000,-2259.2,-0.4824,No Flares
9093,568.318,7.497428e+22,12685940000000.0,50.694,1820838000000.0,1.044782e+22,396.722809,3385.381,3.581,17.156,30.091,35.673,12349000000,-2067.1,-0.3175,No Flares
9094,304.77,3.119279e+22,6020803000000.0,7.209,1472030000000.0,6.171813e+21,150.191528,2409.989,3.35,5.582,23.589,28.476,6422000000,-1582.2,-0.4673,No Flares
9095,70.923,3.996007e+21,1157251000000.0,4.708,45689280000.0,6.625894e+20,77.209946,3211.248,0.0,2.348,22.887,38.091,975050000,-105.62,-0.2055,No Flares
9096,304.398,1.699771e+22,6226398000000.0,84.209,4620567000000.0,8.582673e+21,101.325348,925.3217,2.997,1.012,16.108,22.825,18214000000,-4929.5,-0.5134,No Flares
9097,119.642,7.897617e+21,2637376000000.0,13.688,1090878000000.0,2.480238e+21,76.975113,1545.427,0.0,1.117,21.238,24.156,3679100000,-542.59,-0.2797,No Flares
9098,576.221,6.581728e+22,12348270000000.0,84.881,2788437000000.0,8.181379e+21,457.29422,3717.895,3.095,18.012,31.031,37.755,10312000000,-1278.4,-0.2352,No Flares
9099,295.166,2.345428e+22,6239077000000.0,17.934,1675227000000.0,5.101889e+21,170.525391,2211.466,2.848,5.497,24.588,28.611,5051200000,-1096.2,-0.4117,No Flares
9100,53.487,2.767159e+21,1220675000000.0,5.055,507529100000.0,5.236322e+20,66.64753,2165.94,2.652,16.32,31.103,38.307,747500000,-55.325,-0.1404,No Flares
9101,486.401,3.148926e+22,10960800000000.0,88.757,5179796000000.0,1.234021e+22,252.143845,1154.775,0.0,0.852,20.195,24.085,15692000000,-4040.1,-0.4884,C
9102,102.17,6.217717e+21,2311107000000.0,2.582,327102300000.0,2.31201e+21,54.079609,1273.975,0.0,0.381,20.084,23.139,3905200000,-698.95,-0.3395,No Flares
